com.edu.task1.entity.Bus
numberPassengerSeats;numberPassengerStanding;namePicking;vin;releaseYear;color;mark
20;26;Люкс;4307527631105808542;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@2cfb4a64
38;37;Люкс;5227170519351899369;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@47d384ee;com.edu.task1.entity.Mark@326de728
37;22;Люкс;-3629366531048458239;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@7a92922
25;22;Люкс;5869763336196116957;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@2cfb4a64
37;27;Люкс;-5835034761214245946;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@326de728
33;30;Люкс;8247560206217407849;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@77f03bb1
39;23;Люкс;4394978469582959702;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@326de728
25;33;Люкс;3372596559805438613;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@326de728
22;33;Люкс;-7766008649505295513;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@326de728
25;35;Люкс;-5031840929810682558;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@25618e91
23;27;Люкс;-669153274278728022;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@326de728
23;33;Люкс;-6277469954708105349;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@2cfb4a64
27;26;Люкс;8164019178337168054;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@2cfb4a64
27;39;Люкс;-1371815915178736386;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@7a92922
30;28;Люкс;-1942946600585584075;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@25618e91
32;36;Люкс;-324868576281911031;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@7a92922
26;31;Люкс;-8087404837386601138;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@77f03bb1
24;30;Люкс;-7767412014440041878;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@326de728
39;37;Люкс;3258414769529974098;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@2cfb4a64
23;25;Люкс;8442609620306655682;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@7a92922
22;24;Люкс;-3753221689933776726;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@77f03bb1
30;31;Люкс;6442192462913895961;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@326de728
26;30;Люкс;-1155882113302232319;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@71f2a7d5
38;29;Люкс;-6148321584054963288;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@2cfb4a64
26;30;Люкс;-3506627295164932690;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@7a92922
33;29;Люкс;-2943970579983603486;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@25618e91
34;23;Люкс;-8643625316731409308;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@25618e91
32;24;Люкс;-1489293661187267132;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@71f2a7d5
29;35;Люкс;-7610619334778394083;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@326de728
27;32;Люкс;-1580992958404777633;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@2cfb4a64
31;29;Люкс;8175006862123375171;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@2cfb4a64
26;24;Люкс;-85067172562144861;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@77f03bb1
33;34;Люкс;-5523143608773791199;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@77f03bb1
24;28;Люкс;-8203015839883921042;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@21a06946
21;34;Люкс;3621817592756471435;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@7a92922
39;31;Люкс;-1544755739002398507;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@7a92922
20;30;Люкс;-3640921913106986551;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@47d384ee;com.edu.task1.entity.Mark@71f2a7d5
39;34;Люкс;444701167279420338;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@77f03bb1
39;36;Люкс;-4168252203616213559;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@2cfb4a64
25;32;Люкс;7628416523118469743;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@2cfb4a64
30;31;Люкс;6699027316856012420;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@7a92922
32;33;Люкс;8338873979209384209;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@77f03bb1
21;36;Люкс;3193107888938231985;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@71f2a7d5
38;20;Люкс;-1634242269247287160;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@2cfb4a64
34;35;Люкс;-6862037672463458135;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@77f03bb1
24;29;Люкс;2920947132997310006;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@7a92922
28;25;Люкс;-3529442755361567333;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@25618e91
20;28;Люкс;3690407835383555517;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@2cfb4a64
29;32;Люкс;4444878880686513393;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@2cfb4a64
33;28;Люкс;-3320087243868995314;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@47d384ee;com.edu.task1.entity.Mark@25618e91
37;33;Люкс;-8410338249178349054;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@77f03bb1
26;36;Люкс;-8074406593683195217;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@77f03bb1
39;23;Люкс;-2157305398099646983;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@7a92922
24;37;Люкс;3552432020713670220;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@77f03bb1
27;38;Люкс;2755907689403061254;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@2cfb4a64
30;20;Люкс;-1537071492670151806;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@77f03bb1
38;29;Люкс;-6033390957966742077;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@77f03bb1
38;34;Люкс;6735946711805038312;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@47d384ee;com.edu.task1.entity.Mark@21a06946
38;25;Люкс;-197879357764013079;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@47d384ee;com.edu.task1.entity.Mark@71f2a7d5
33;38;Люкс;-8092769147168545442;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@7a92922
29;38;Люкс;-1329645383187140812;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@21a06946
36;23;Люкс;-8505971333562718822;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@326de728
37;21;Люкс;-5419009767423638124;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@2cfb4a64
34;20;Люкс;6292262350044920816;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@77f03bb1
23;30;Люкс;3891819577318492053;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@7a92922
35;25;Люкс;754675595262559329;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@7a92922
37;39;Люкс;-7369188916283538927;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@326de728
32;36;Люкс;-8847344419747434776;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@326de728
22;21;Люкс;7053604660317085716;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@326de728
22;33;Люкс;-5004656294455791103;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@47d384ee;com.edu.task1.entity.Mark@77f03bb1
28;26;Люкс;5727726894838458640;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@326de728
28;31;Люкс;5866142687136593786;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@21a06946
33;21;Люкс;-6680051677095467198;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@21a06946
23;33;Люкс;1857157884755324798;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@7a92922
32;31;Люкс;4983229121670087268;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@2cfb4a64
32;20;Люкс;-753143101020064289;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@7a92922
35;34;Люкс;4544936527967296149;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@25618e91
34;38;Люкс;5697301297619547556;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@47d384ee;com.edu.task1.entity.Mark@2cfb4a64
34;36;Люкс;4803963767010340741;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@7a92922
32;24;Люкс;3898151914579048147;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@47d384ee;com.edu.task1.entity.Mark@7a92922
38;22;Люкс;-1835248896682369051;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@2cfb4a64
27;33;Люкс;-2437895812820172160;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@7a92922
28;27;Люкс;3349490679678881038;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@71f2a7d5
36;32;Люкс;-5443696108385285865;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@71f2a7d5
22;33;Люкс;4836568817579486961;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@2cfb4a64
31;29;Люкс;3175476852838479590;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@25618e91
35;35;Люкс;-903539182051072961;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@71f2a7d5
24;27;Люкс;-1999830674468068625;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@71f2a7d5
36;21;Люкс;7808853159060802265;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@326de728
24;37;Люкс;-562415153650973716;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@326de728
39;36;Люкс;3304042952233806970;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@25618e91
29;28;Люкс;4850820224227219362;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@7a92922
36;30;Люкс;-7234353665150563420;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@326de728
39;37;Люкс;-5658068117293995925;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@7a92922
26;34;Люкс;-173270904157643576;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@7a92922
26;20;Люкс;8150270757581561087;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@47d384ee;com.edu.task1.entity.Mark@25618e91
39;37;Люкс;-8914720754699536455;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@2cfb4a64
28;21;Люкс;553677067886870147;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@71f2a7d5
34;26;Люкс;816182384670657875;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@7a92922
36;35;Люкс;-616613520248839979;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@21a06946
34;32;Люкс;4828169228767030632;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@21a06946
29;23;Люкс;5375730985026935062;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@7a92922
33;34;Люкс;8417286048649390315;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@25618e91
38;26;Люкс;287032238872981112;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@326de728
26;22;Люкс;-2849532097297343392;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@7a92922
36;24;Люкс;1296376707895619913;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@2cfb4a64
30;31;Люкс;-813370631984943484;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@2cfb4a64
22;29;Люкс;-662896482720521152;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@25618e91
39;22;Люкс;-6852532791824707784;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@326de728
25;25;Люкс;5357496462020551688;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@7a92922
23;32;Люкс;3520145139336151732;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@25618e91
39;25;Люкс;-8658522220784273141;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@47d384ee;com.edu.task1.entity.Mark@2cfb4a64
30;27;Люкс;3170544110089176297;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@21a06946
34;20;Люкс;2013624687619555201;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@2cfb4a64
26;31;Люкс;-6236017610611977929;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@7a92922
22;29;Люкс;6503497163087712697;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@326de728
27;28;Люкс;4898435507863984721;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@2cfb4a64
20;32;Люкс;3649458859936129190;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@71f2a7d5
24;34;Люкс;5404762083389111917;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@25618e91
22;35;Люкс;2440298737989265069;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@77f03bb1
24;20;Люкс;-2988949950996642897;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@71f2a7d5
39;35;Люкс;-5296807369419087698;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@77f03bb1
27;34;Люкс;2567489042121124056;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@7a92922
20;23;Люкс;304073142841162065;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@21a06946
24;25;Люкс;-3684673375173126613;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@25618e91
22;26;Люкс;-4174918564149259629;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@71f2a7d5
36;26;Люкс;3766441168289315489;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@21a06946
20;30;Люкс;-7205739602078557808;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@2cfb4a64
38;28;Люкс;-5477975658777648818;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@77f03bb1
21;20;Люкс;9010602257255747731;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@326de728
26;34;Люкс;-4253415480079004910;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@71f2a7d5
39;22;Люкс;-375699805040755876;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@21a06946
20;34;Люкс;6975127329299830916;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@2cfb4a64
38;23;Люкс;-9033654833924482639;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@47d384ee;com.edu.task1.entity.Mark@77f03bb1
29;35;Люкс;796492667635109915;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@2cfb4a64
